task_id,category,function,model,recovery_success,task_quality,false_positive,quality_reason,error
legal-0003,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0001,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0006,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
legal-0000,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0007,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0005,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0004,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0010,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0011,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0008,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0012,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
legal-0002,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
legal-0013,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0016,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
legal-0009,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0015,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0017,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0014,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0020,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0021,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0018,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0025,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0023,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0026,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
legal-0022,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
legal-0019,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0028,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0024,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0029,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0032,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
legal-0030,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0027,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0035,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0033,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0036,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
legal-0031,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0034,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0039,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0037,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0038,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0041,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0043,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0042,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
legal-0040,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0048,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0045,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0044,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0046,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
legal-0047,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0050,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0051,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0055,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0052,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
legal-0058,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0049,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0057,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0056,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
legal-0053,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0054,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0063,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0066,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
legal-0065,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0062,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
legal-0060,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0059,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0061,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0067,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0064,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0071,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0070,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0072,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
legal-0069,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0077,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0068,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0078,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0073,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0076,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
legal-0080,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0074,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0082,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
legal-0079,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0083,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0081,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0085,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0086,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
legal-0088,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0090,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0084,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0087,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0091,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0093,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0089,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0092,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
legal-0097,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0095,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0094,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0075,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0099,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0098,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0096,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
