task_id,category,function,model,recovery_success,task_quality,false_positive,quality_reason,error
legal-0005,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0007,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0002,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
legal-0001,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0003,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0000,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0006,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
legal-0004,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0008,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0010,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0013,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0009,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0016,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
legal-0011,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0015,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0018,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0017,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0014,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0019,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0012,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
legal-0020,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0023,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0022,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
legal-0021,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0027,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0025,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0024,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0030,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0028,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0026,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
legal-0033,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0029,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0034,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0035,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0036,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
legal-0031,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0037,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0038,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0039,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0041,assertion_failure,max_two,gpt-5.6-luna,True,True,False,passed,
legal-0043,tool_timeout,reverse_text,gpt-5.6-luna,True,True,False,passed,
legal-0042,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
legal-0040,arithmetic,add,gpt-5.6-luna,True,True,False,passed,
legal-0045,format_error,normalize_email,gpt-5.6-luna,True,True,False,passed,
legal-0044,permission_denied,count_vowels,gpt-5.6-luna,True,True,False,passed,
legal-0047,assertion_failure,median_three,gpt-5.6-luna,True,True,False,passed,
legal-0046,external_content_error,dict_get,gpt-5.6-luna,True,True,False,passed,
legal-0048,tool_timeout,safe_int,gpt-5.6-luna,False,False,False,forbidden_Try,
legal-0049,permission_denied,flatten_pair,gpt-5.6-luna,True,True,False,passed,
legal-0032,compile_error,factorial,gpt-5.6-luna,True,True,False,passed,
